"Books_name","Books_Author","Books_Author_url","Books_Classification","Books_Content","Books_Price"
"叶甫盖尼·奥涅金","〔俄〕普希金","https://read.douban.com/search?q=%E3%80%94%E4%BF%84%E3%80%95%E6%99%AE%E5%B8%8C%E9%87%91","图书 / 虚构","本书为诗体长篇小说，讲述了一个贵族青年奥涅金在上流社会所发生的故事。作品中的主人公奥涅金是俄国文学史上第一个多余人形象，该作品是俄国现实主义文学的奠基之作，是公认的俄罗斯文学的典… （更多）","10.00元"
"睡前捏一捏宝宝百病消","于天源","https://read.douban.com/search?q=%E4%BA%8E%E5%A4%A9%E6%BA%90","图书 / 非虚构","零基础也可以给宝宝按摩吗？ 宝宝生病了，可以只按摩不吃药吗？ 平时也可以给宝宝按摩保健吗？ 对于按摩治疗，很多爸爸妈妈都存在这样或那样的问题。因为大多数的爸爸妈妈没有按摩方面的知… （更多）","15.80元"
"命悬一线","叶上秋","https://read.douban.com/search?q=%E5%8F%B6%E4%B8%8A%E7%A7%8B","图书 / 虚构","以恶的脆弱和强悍，彰显对善的坚守。 《命悬一线》讲述了一个以“恶”制恶的故事。 富二代贺彬同电脑天才程潭为了给无聊的生活加点料，策划了一场“偷拍”恶作剧，惹恼了被他们成功恶搞的韦… （更多）","9.90元"
"探索人工智能系列（套装共4册）","阿米尔·侯赛因（Amir Husain）","https://read.douban.com/search?q=%E9%98%BF%E7%B1%B3%E5%B0%94%C2%B7%E4%BE%AF%E8%B5%9B%E5%9B%A0%EF%BC%88Amir%20Husain%EF%BC%89","图书 / 非虚构","","129.60元"
"权力意志","〔德〕尼采","https://read.douban.com/search?q=%E3%80%94%E5%BE%B7%E3%80%95%E5%B0%BC%E9%87%87","图书 / 非虚构","《权力意志》为尼采晚年哲学思想的代表之作，也是尼采最有影响哲学著作，尼采哲学的精髓即是重估一切价值，其“意志”是压倒一切的。正像“德国高于一切一样”，他的光辉与黑暗都是系于这个意… （更多）","26.00元"
"陈白尘研究资料","胡星亮","https://read.douban.com/search?q=%E8%83%A1%E6%98%9F%E4%BA%AE","图书 / 非虚构","本书分作家生平简介、作家作品导论、作家研究资料选编、作家研究资料目录、作家创作谈选编、作家创作年表等六部分。其中“作家作品导论”为本书编者对作家创作的整体论述；“研究资料选编”以… （更多）","24.00元"
"新中国和日本关系史","张历历","https://read.douban.com/search?q=%E5%BC%A0%E5%8E%86%E5%8E%86","图书 / 非虚构","中日两国地理相邻，有着长达两千年的交往史，19世纪末甲午战争起日本侵略中国长达50年的历史给中国人民造成严重的灾难，这些都使中日关系成为最复杂、也是近年来关注度最高的双边关系。《新中… （更多）","19.00元"
"国学经典诵读：诗文诵读（第一卷）","王晓静 主编","https://read.douban.com/search?q=%E7%8E%8B%E6%99%93%E9%9D%99%20%E4%B8%BB%E7%BC%96","图书 / 非虚构","《国学经典诵读：诗文诵读（第1卷）》针对中小学生、大中专学生，特打造一本集成中华诗歌、散文之作，收录上至先秦《诗经》和《论语》《孟子》等诸子散文，下至新中国成立前的大家诗文佳作，… （更多）","4.00元"
"告别霸权！","〔美 〕西蒙·赖克","https://read.douban.com/search?q=%E3%80%94%E7%BE%8E%20%E3%80%95%E8%A5%BF%E8%92%99%C2%B7%E8%B5%96%E5%85%8B","图书 / 非虚构","在过去的很长一段时间内，许多政策制定者、学者、媒体人都坚称，美国的霸权是维护世界和平稳定的重要因素。然而该书却指出，“霸权”只是美国为了自身大规模的防御建设、世界主导地位的合法化… （更多）","19.00元"
"决战（东北解放战争：1945～1948）","刘统","https://read.douban.com/search?q=%E5%88%98%E7%BB%9F","图书 / 非虚构","1945～1948年的东北战场风云变幻。从日本投降，捷足先登进沈阳、十万大军闯关东企图“霸占”东北，接着“风云突变”，接收碰壁，山海关、锦州战局发生变化，东北野战军“让开大路”，林彪开辟… （更多）","24.99元"
