HKE_inspection_defect_code,defect_section_en,defect_type,defect_description_en,defect_tips_description_en,,,,,
1BMXQ,Main Switch,EO,"Departure:
Circuit breaker inserted in neutral circuit not inherently linked to cut all live conductors.","Rectification Tips:
Replace the breaker by a linked type circuit breaker.",,,,,
1BSVE,main switch,Electricity ordinance,"Departure:
Insulation resistance less than 1 mega ohm.","Rectification Tips:
Carry out a full check on the circuit(s)/main wire(s) in question to find out the probable problem(s)/cause(s), and then arrange rectification.",,,,,
1BXWN,Main switch,Electricity Ordinance,"Departure:
Weatherproof outdoor cubicle for housing main switch and distribution board not provided.","Rectification Tips:
Provide a weatherproof outdoor cubicle for housing the main switch and distribution board.",,,,,
1CDQL,MS,Electricity Ordinance,"Departure:
Main switch live parts not properly enclosed or insulated.","Rectification Tips:
Main switch live parts shall be properly enclosed or insulated.",,,,,
1CIXI,Main Switch,,"Departure:
Main cables not mechanically protected.","Rectification Tips:
Main cables shall be mechanically protected.",,,,,
1CPRL,Main Switch,Electricity Ordinance,"Departure:
Protective conductors/earthing conductors undersized.","Rectification Tips:
Replace the protective conductors/earthing conductors of sufficient size.",,,,,
1CWQS,Main Switch,EO,"Departure:
Category 2 circuits not segregated from circuits of other categories.","Rectification Tips:
Segregate Category 2 circuits from circuits of other categories.",,,,,
1DLXF,MS,Electricity Ordinance,"Departure:
A label indicating in English and Chinese ""Safety Electrical Connection - Do not Remove"" at all main earthing and bonding connections not provided.","Rectification Tips:
1. Warning notice should comply with the requirements of Code 17B of the COP for the Electricity (Wiring) Regulations.
2. Permanently fix the label at or near the point of connection of every earthing conductor to an earth electrode, and at or near each main bonding.",,,,,
1EIXF,Main Switch,Electricity Ordinance,"Departure:
Earth electrode (with inspection pit) not provided.","Rectification Tips:
Inspection pit shall be provided for accessing the underground test terminal.",,,,,
1ELVE,Main Switch,Electricity ordinance,"Departure:
Earth loop impedance above permissible value.","Rectification Tips:
1. Replace the main switch of appropriate type which could match with the earth fault loop impedance of the installation.
2. Improve the earth fault loop impedance so as to match with the required standard.",,,,,
1EMXC,Main Switch,Electricity Ordinance,"Departure:
Customer's earthing system not bonded to Company's earthing terminal with removable link or equivalent means for isolation.","Rectification Tips:
Install the link box and make connection by 150 mm2 Cu cable / 2 x 1"" x 1/8"" Cu tape with green/yellow colour sheath according to the provided drawing.",,,,,
1FHXM,Main switch,Electricity Ordinance,"Departure:
Fuse installed in neutral circuit.","Rectification Tips:
No fuse shall be installed in neutral circuit.",,,,,
1MWBJ,Main Switch,Electricity Ordinance,"Departure:
The main cable defective.","Rectification Tips:
Defective main cable shall be rectified.",,,,,
1MWIE,MS,EO,"Departure:
Main cable without phase identification.","Rectification Tips:
1. Provide permanent phase identification at the main cable.
2. For 3-ph. installation – “Brown/Black /Grey/Blue”, “L1/L2/L3/N” or both.
3. For 1-ph. installation – “Brown & Blue” and “L1/L2/L3&N”.",,,,,
1MWPE,Main switch,Electricity Ordinance,"Departure:
Main cable connected up with incorrect polarity.","Rectification Tips:
Connect the main cable in correct polarity.",,,,,
1MWRH,main switch,Electricity Ordinance,"Departure:
Main cable undersized when compared to main switch rating.","Rectification Tips:
Size of the main cable shall match with the main switch rating.",,,,,
1MZDJ,Main Switch,Electricity ordinance,"Departure:
The meter board wirings defective.","Rectification Tips:
Defective meter board wirings shall be rectified.",,,,,
1NLXF,Main Switch,Electricity Ordinance,"Departure:
Copper link not installed in neutral circuit at main switch.","Rectification Tips:
1. Use 4-pole switch or 
2. For 3-pole linked switch or circuit breaker, a link shall be inserted in the neutral conductor and securely fixed by bolts or screws.",,,,,
1PPTG,Main Switch,Electricity Ordinance,"Departure:
Main incoming water/gas pipe not bonded to earth.","Rectification Tips:
Main incoming water/gas pipe shall be effectively bonded to earth.",,,,,
